date,route,stop,time,location,drumming,seen,comment
1984-05-24,2,1,04:52,ADJ0,0,0,
1984-05-24,2,9,,ADJ120,0,0,
1984-05-24,2,10,,ADJ160,0,0,
1984-05-24,2,11,,ADJ200,0,0,
1984-05-24,2,12,,ADJ240,0,0,
1984-05-24,2,2,,ADJ40,1,0,
1984-05-24,2,8,,ADJ80,0,0,
1984-05-24,1,3,05:18,CL120,0,0,
1984-05-24,1,4,,CL160,0,0,
1984-05-24,1,5,,CL200,0,0,
1984-05-24,1,6,05:35,CL240,0,0,
1984-05-24,1,7,,CL280,0,0,
1984-05-24,1,8,,CL320,0,0,
1984-05-24,1,9,,CL360,0,0,
1984-05-24,1,1,05:00,CL40,0,0,
1984-05-24,1,2,,CL80,0,0,
1984-05-24,2,18,,DP105,0,0,
1984-05-24,2,19,,DP145,0,0,
1984-05-24,2,16,,DP25,1,0,
1984-05-24,2,17,,DP65,0,0,
1984-05-24,1,12,,SC105,1,0,
1984-05-24,1,13,06:20,SC145,1,0,
1984-05-24,1,14,06:28,SC190,0,0,
1984-05-24,1,10,06:00,SC25,0,0,
1984-05-24,1,11,,SC65,1,0,
1984-05-24,1,16,06:37,WL145,0,0,
1984-05-24,2,14,,WL45,0,0,
1984-05-24,2,13,,WL5,0,0,
1984-05-24,2,15,,WL85,0,0,
1985-04-15,3,8,05:40,1005S,1,0,
1985-04-15,3,7,05:35,1010N,0,0,
1985-04-15,3,6,05:29,1015N,0,0,
1985-04-15,3,5,05:23,1020S,1,0,
1985-04-15,3,4,05:17,1025N,0,0,
1985-04-15,3,3,05:11,1030S,0,0,
1985-04-15,3,2,05:06,1035S,0,0,
1985-04-15,3,1,05:01,1040N,0,0,
1985-04-15,3,20,06:46,1136S,0,0,
1985-04-15,3,19,06:41,1141N,,,
1985-04-15,3,18,06:35,1146S,1,0,
1985-04-15,3,17,06:30,1151N,0,0,
1985-04-15,3,16,06:25,1156S,1,0,
1985-04-15,3,15,06:20,1161N,0,0,
1985-04-15,3,14,06:14,1166S,0,0,
1985-04-15,3,13,06:08,1171N,1,0,
1985-04-15,3,12,06:02,1176S,1,0,
1985-04-15,3,11,05:57,1181N,0,0,
1985-04-15,3,10,05:52,1186S,1,0,
1985-04-15,3,9,05:46,1191N,1,0,
1985-04-18,3,8,05:58,1005S,0,0,
1985-04-18,3,7,06:07,1010N,0,0,
1985-04-18,3,6,06:11,1015N,0,0,
1985-04-18,3,5,06:20,1020S,0,0,
1985-04-18,3,4,06:25,1025N,0,0,
1985-04-18,3,3,06:31,1030S,0,0,
1985-04-18,3,2,06:37,1035S,0,0,
1985-04-18,3,1,06:43,1040N,0,0,
1985-04-18,3,20,04:50,1136S,0,0,
1985-04-18,3,19,04:52,1141N,1,0,
1985-04-18,3,18,05:02,1146S,0,0,
1985-04-18,3,17,05:07,1151N,0,0,
1985-04-18,3,16,05:11,1156S,1,0,
1985-04-18,3,15,05:17,1161N,1,0,
1985-04-18,3,14,05:22,1166S,0,0,
1985-04-18,3,13,05:28,1171N,0,0,
1985-04-18,3,12,05:33,1176S,0,0,
1985-04-18,3,11,05:38,1181N,0,0,
1985-04-18,3,10,05:45,1186S,0,0,
1985-04-18,3,9,05:52,1191N,0,0,
1985-04-24,2,1,04:54,ADJ0,0,0,
1985-04-24,2,9,05:55,ADJ120,0,0,
1985-04-24,2,10,06:02,ADJ160,0,0,
1985-04-24,2,11,06:08,ADJ200,0,0,
1985-04-24,2,12,06:17,ADJ240,1,0,
1985-04-24,2,2,05:01,ADJ40,0,0,
1985-04-24,2,8,05:49,ADJ80,0,0,
1985-04-24,1,3,05:08,CL120,1,0,
1985-04-24,1,4,05:14,CL160,0,0,
1985-04-24,1,5,05:20,CL200,1,0,
1985-04-24,1,6,05:27,CL240,0,0,
1985-04-24,1,7,05:35,CL280,0,0,
1985-04-24,1,8,05:41,CL320,1,0,
1985-04-24,1,9,05:47,CL360,1,0,
1985-04-24,1,1,04:56,CL40,1,0,
1985-04-24,1,2,05:02,CL80,0,0,
1985-04-24,2,18,06:55,DP105,0,0,
1985-04-24,2,19,07:01,DP145,0,0,
1985-04-24,2,20,07:07,DP180,1,0,
1985-04-24,2,16,06:43,DP25,0,0,
1985-04-24,2,17,06:49,DP65,0,0,
1985-04-24,2,6,05:30,LSB40,0,0,
1985-04-24,2,7,05:37,LSB80,0,0,
1985-04-24,2,5,05:23,SB120,0,0,
1985-04-24,2,3,05:10,SB40,0,0,
1985-04-24,2,4,05:17,SB80,2,0,
1985-04-24,1,12,06:05,SC105,0,0,
1985-04-24,1,13,06:11,SC145,1,0,
1985-04-24,1,14,06:17,SC190,1,0,
1985-04-24,1,10,05:53,SC25,1,0,
1985-04-24,1,11,05:59,SC65,1,0,
1985-04-24,1,16,06:39,WL120,0,0,
1985-04-24,1,15,06:29,WL160,0,0,
1985-04-24,2,14,06:30,WL45,0,0,
1985-04-24,2,13,06:23,WL5,0,0,
1985-04-24,2,15,06:36,WL85,0,0,
1985-04-28,2,1,05:56,ADJ0,0,0,
1985-04-28,2,9,06:57,ADJ120,0,0,
1985-04-28,2,10,07:04,ADJ160,0,0,
1985-04-28,2,11,07:10,ADJ200,0,0,
1985-04-28,2,12,07:18,ADJ240,1,0,
1985-04-28,2,2,06:02,ADJ40,0,0,
1985-04-28,2,8,06:51,ADJ80,0,0,
1985-04-28,2,18,07:56,DP105,0,0,
1985-04-28,2,19,08:02,DP145,1,0,
1985-04-28,2,20,08:08,DP180,1,0,
1985-04-28,2,16,07:44,DP25,0,0,
1985-04-28,2,17,07:50,DP65,0,0,
1985-04-28,2,6,06:31,LSB40,0,0,
1985-04-28,2,7,06:37,LSB80,0,0,
1985-04-28,2,5,06:25,SB120,1,0,
1985-04-28,2,3,06:11,SB40,0,0,
1985-04-28,2,4,06:17,SB80,1,1,
1985-04-28,2,14,07:32,WL45,0,0,
1985-04-28,2,13,07:25,WL5,0,0,
1985-04-28,2,15,07:38,WL85,0,0,
1985-04-30,1,3,06:10,CL120,1,0,
1985-04-30,1,4,06:16,CL160,0,0,
1985-04-30,1,5,06:23,CL200,0,0,
1985-04-30,1,6,06:29,CL240,0,0,
1985-04-30,1,7,06:36,CL280,0,0,
1985-04-30,1,8,06:42,CL320,0,0,
1985-04-30,1,9,06:49,CL360,1,0,
1985-04-30,1,1,05:57,CL40,1,0,
1985-04-30,1,2,06:05,CL80,0,0,
1985-04-30,1,12,07:10,SC105,0,0,
1985-04-30,1,13,07:16,SC145,1,0,
1985-04-30,1,14,07:23,SC190,0,0,
1985-04-30,1,10,06:56,SC25,1,0,
1985-04-30,1,11,07:04,SC65,1,0,
1985-04-30,1,16,07:46,WL120,0,0,
1985-04-30,1,15,07:36,WL160,0,0,
1986-04-14,3,8,05:31,1005S,1,0,
1986-04-14,3,7,05:24,1010N,0,0,
1986-04-14,3,6,05:18,1015N,0,0,
1986-04-14,3,5,05:11,1020S,0,0,
1986-04-14,3,4,05:05,1025N,1,0,
1986-04-14,3,3,04:59,1030S,1,0,
1986-04-14,3,2,04:52,1035S,1,0,
1986-04-14,3,1,04:46,1040N,0,0,
1986-04-14,3,21,06:54,1136S,0,0,
1986-04-14,3,20,06:47,1141N,1,0,
1986-04-14,3,19,06:40,1146S,1,0,
1986-04-14,3,18,06:34,1151N,0,0,
1986-04-14,3,17,06:28,1156S,0,0,
1986-04-14,3,16,06:21,1161N,,0,
1986-04-14,3,15,06:15,1166S,0,0,
1986-04-14,3,14,06:09,1171N,1,0,
1986-04-14,3,13,06:03,1176S,1,0,
1986-04-14,3,12,05:57,1181N,1,0,
1986-04-14,3,11,05:50,1186S,0,0,
1986-04-14,3,10,05:44,1191N,,0,
1986-04-14,3,9,05:37,1196S,0,0,
1986-04-16,3,8,06:03,1005S,0,0,
1986-04-16,3,7,06:08,1010N,0,0,
1986-04-16,3,6,06:13,1015N,0,0,
1986-04-16,3,5,06:19,1020S,,0,
1986-04-16,3,4,06:26,1025N,0,0,
1986-04-16,3,3,06:32,1030S,1,0,
1986-04-16,3,2,06:38,1035S,1,0,
1986-04-16,3,1,06:44,1040N,0,0,
1986-04-16,3,21,04:43,1136S,0,0,
1986-04-16,3,20,04:50,1141N,1,0,
1986-04-16,3,19,04:56,1146S,0,0,
1986-04-16,3,18,05:02,1151N,0,0,
1986-04-16,3,17,05:08,1156S,0,0,
1986-04-16,3,16,05:14,1161N,1,0,
1986-04-16,3,15,05:20,1166S,0,0,
1986-04-16,3,14,05:26,1171N,1,0,
1986-04-16,3,13,05:33,1176S,1,0,
1986-04-16,3,12,05:39,1181N,2,0,
1986-04-16,3,11,05:45,1186S,0,0,
1986-04-16,3,10,05:50,1191N,1,0,
1986-04-16,3,9,05:56,1196S,0,0,
1986-04-18,3,8,05:22,1005S,1,0,
1986-04-18,3,7,05:16,1010N,0,0,
1986-04-18,3,6,05:10,1015N,0,0,
1986-04-18,3,5,05:04,1020S,0,0,
